"","id","group","patch_time"
"1","p001","group1",11.2078899082569
"2","p002","group1",14.5956516853933
"3","p003","group2",26.6422037037037
"4","p005","group1",14.8011136363636
"5","p006","group1",13.0875
"6","p007","group2",12.9663608247423
"7","p008","group2",9.226984
"8","p009","group2",10.4024375
"9","p010","group2",3.85386111111111
"10","p011","group1",12.20535
"11","p012","group1",9.15781355932203
"12","p013","group2",19.6084347826087
"13","p014","group2",10.4845357142857
"14","p015","group1",10.0301416666667
"15","p016","group2",15.9431097560976
"16","p017","group2",13.6041290322581
"17","p019","group2",13.0681734693878
"18","p020","group1",13.1112474226804
"19","p021","group2",10.9691759259259
"20","p022","group2",9.15117741935484
"21","p023","group1",12.8214019607843
"22","p024","group2",11.1217064220183
"23","p025","group1",8.7893046875
"24","p026","group1",10.6327142857143
"25","p027","group2",23.6539166666667
"26","p028","group2",17.5528051948052
"27","p029","group1",8.75321428571429
"28","p030","group1",17.8644155844156
"29","p031","group2",13.4361458333333
"30","p032","group2",21.5277575757576
"31","p033","group1",15.235
"32","p034","group2",11.4884222222222
"33","p035","group1",27.9232549019608
"34","p036","group2",16.1932261904762
"35","p037","group1",11.4746111111111
"36","p038","group2",11.1190990990991
"37","p039","group1",12.1805050505051
"38","p040","group1",7.49948684210526
"39","p041","group2",11.6141346153846
"40","p042","group2",19.3037857142857
"41","p044","group2",9.09596850393701
"42","p045","group1",11.9834368932039
"43","p046","group2",14.382908045977
"44","p047","group2",8.46673846153846
"45","p048","group2",9.72569105691057
"46","p050","group1",9.47418181818182
"47","p052","group2",7.38833333333333
"48","p055","group1",12.2766796116505
"49","p056","group2",10.3939391304348
"50","p057","group2",11.1334485981308
"51","p058","group2",17.2804285714286
"52","p059","group2",10.331641025641
"53","p061","group1",7.50142253521127
"54","p062","group1",8.00274820143885
"55","p063","group1",14.3606704545455
"56","p064","group1",15.1578953488372
"57","p065","group2",17.3446849315068
"58","p066","group2",11.2564859813084
"59","p070","group2",12.5758
"60","p071","group2",8.56673529411765
"61","p072","group2",11.0293947368421
"62","p073","group2",15.0168795180723
"63","p074","group2",24.9034736842105
"64","p075","group1",13.4760106382979
"65","p077","group1",22.1195555555556
"66","p080","group2",21.3106307692308
"67","p081","group1",8.57220149253731
"68","p083","group2",18.12864
"69","p084","group2",6.02185802469136
"70","p086","group1",11.9547326732673
"71","p087","group2",12.45878
"72","p089","group1",9.04336290322581
"73","p090","group1",12.6536632653061
"74","p091","group2",17.4702368421053
"75","p092","group2",7.70072602739726
"76","p093","group1",8.92325196850394
"77","p094","group1",12.29031
"78","p095","group1",8.97131496062992
"79","p096","group2",15.6874814814815
"80","p097","group1",12.20107
"81","p098","group2",12.7259381443299
"82","p099","group1",12.8029801980198
"83","p100","group2",12.9257254901961
"84","p101","group2",19.010768115942
"85","p102","group1",17.337425
"86","p103","group1",16.3289146341463
"87","p104","group1",35.126119047619
"88","p105","group2",14.829797752809
"89","p106","group2",16.9589240506329
"90","p107","group1",8.47360447761194
"91","p108","group2",6.1177816091954
"92","p109","group2",8.57123308270677
"93","p110","group2",16.0236585365854
"94","p111","group1",19.8653043478261
"95","p112","group1",14.4492717391304
"96","p115","group2",12.4325392156863
"97","p116","group1",9.82845161290323
"98","p117","group1",14.3214659090909
"99","p118","group1",11.8698529411765
"100","p119","group1",11.4803301886792
"101","p120","group2",15.8506626506024
"102","p121","group1",16.8157820512821
"103","p122","group1",13.3398631578947
"104","p123","group2",22.3240952380952
